LONGITUDE,LATITUDE,COUNT,TERMINAL
-77.0444,38.9101,439746,31200
-77.00493,38.89696,424648,31623
-77.03442692756653,38.909800626551906,320999,31201
-77.0494365,38.888255,300727,31258
-77.032427,38.8885525,289246,31247
-77.032096,38.917764500000004,248597,31101
-77.038252,38.915544,231134,31229
-77.0387,38.9121,229955,31214
-77.0325,38.9059,218691,31241
-76.99473559856416,38.884260087971725,217264,31613
-77.02308599999999,38.8997,214308,31228
-77.0323,38.9086,198596,31203
-77.009888,38.897446,194004,31624
-77.01902700000001,38.903040000000004,192149,31600
-77.02869399999999,38.888774,185904,31248
-77.037413,38.879819,181237,31249
-77.03200799999999,38.913046,180965,31202
-77.0221906900406,38.89728304853854,180372,31232
-77.03335404396056,38.89903234416315,177411,31222
-77.0446,38.9154,177363,31110
-77.04731762409209,38.90571079190728,175404,31212
-77.005483,38.905696999999996,169074,31603
-77.03863,38.90276,166485,31213
-77.04258100000001,38.922925,162280,31104
-77.027869,38.898364,162234,31230
-77.01770067214966,38.88637194054526,161329,31243
-77.056887,38.905126,159754,31246
-77.053485,38.903827,154900,31237
-77.06269,38.90375,153274,31225
-77.04644858837128,38.90071062547464,151701,31205
-77.05914150000001,38.902314000000004,148395,31215
-77.031617,38.894514,147498,31231
-77.0178975,38.876697,147435,31108
-77.026013,38.893028,146563,31219
-77.03980207443237,38.90599569999115,141044,31239
-77.038322,38.902060999999996,135299,31233
-77.02226999999999,38.905737,134550,31223
-77.0222,38.9155,134220,31109
-77.032278,38.898409,132702,31238
-77.001949,38.900412,130477,31616
-77.029822,38.900283,128028,31227
-77.02224100000001,38.886266,127361,31218
-76.988355,38.890461,124943,31619
-77.048911,38.90088,124099,31257
-77.04478,38.908905,123978,31234
-77.04177886247633,38.905066874553135,123560,31221
-77.02824175357819,38.886276945065106,123522,31217
-77.0315,38.9308,122851,31602
-77.0259,38.9172,122808,31111
-77.019347,38.897222,119948,31620
-77.04061999999999,38.917761,119733,31116
-77.0436,38.8923,116600,31235
-77.017445,38.88412,114616,31244
-77.070993,38.897315,113931,31014
-77.018677,38.900929999999995,113340,31265
-77.013917,38.892275,112992,31271
-77.000349,38.889955,111181,31618
-77.022155,38.912719,111036,31245
-76.996806,38.886952,108571,31610
-77.027313,38.9055785,106420,31266
-76.98825001716614,38.90042673988099,105874,31611
-77.00572729110719,38.878854378063295,103469,31628
-77.038359,38.908142,102296,31267
-77.04656999999999,38.88412,100560,31240
-77.0135,38.9126,100255,31503
-77.045,38.8963,98028,31204
-77.0023,38.8851,97431,31605
-77.031686,38.899632000000004,97297,31216
-77.041539,38.89968,97174,31242
-77.027822,38.929464,96489,31102
-77.028139,38.916787,94189,31268
-77.012289,38.915417,93424,31506
-76.987633,38.894832,93294,31622
-77.0388,38.9319,93257,31107
-77.015289,38.899408,93236,31604
-76.998347,38.899972,91061,31615
-77.013769,38.886978000000006,90892,31272
-77.071652,38.907740000000004,88912,31236
-77.03542068600655,38.92612422246211,88877,31103
-77.026064,38.895914000000005,88648,31256
-77.0021304488182,38.90546971494327,87359,31627
-77.0424520969391,38.90374145091938,87182,31224
-77.0322,38.9268,87086,31105
-77.0037,38.8763,84927,31208
-76.99591577053069,38.894840642470754,84752,31612
-77.01994,38.894573,84730,31264
-77.03353,38.902,84712,31254
-77.05152,38.9066,83858,31255
-77.02622,38.9024,83124,31263
-77.0284,38.903819,81606,31251
-77.050046,38.923583,80771,31121
-77.04157099999999,38.918809,80454,31114
-77.02324,38.894851,78986,31270
-77.03973233699799,38.89828294952361,78067,31277
-77.0429,38.9003,76881,31100
-77.046587,38.894919,75249,31220
-77.047637,38.923203,74451,31106
-76.991383,38.899983,74382,31614
-77.00195500000001,38.887378000000005,73829,31269
-76.9862,38.8803,69809,31606
-77.031887,38.921074,68805,31119
-76.98790669441223,38.882915484767615,67841,31607
-77.02418088912964,38.9366839345886,67721,31400
-77.041834,38.912648,67235,31278
-77.026975,38.897857,64693,31262
-77.063586,38.90849,62785,31312
-77.072305,38.8946,62608,31015
-77.02277,38.908640000000005,62116,31281
-77.04938299999999,38.890539000000004,61419,31289
-77.001828,38.881184999999995,60627,31625
-77.01610600000001,38.895344,60494,31621
-77.051084,38.901755,60267,31275
-77.0024,38.875009999999996,58203,31634
-77.046564,38.901539,57886,31252
-77.02305436134337,38.87869359939696,57776,31609
-77.04368000000001,38.920669000000004,57004,31113
-77.0172465,38.8904955,56016,31288
-76.994749,38.897273999999996,55925,31631
-77.05113172531128,38.857404962615036,55477,31007
-77.00495,38.910971999999994,54473,31505
-77.06752850000001,38.9037315,54110,31314
-77.04337,38.902204,53910,31253
-77.049882,38.896104,53768,31260
-77.04656700000001,38.892459,52434,31261
-77.044789,38.903584,51734,31250
-76.98356899999999,38.88732,50003,31626
-77.034918,38.903649,48886,31276
-77.0328,38.9375,48829,31401
-77.017669,38.912659000000005,48425,31509
-77.0352,38.92333,48011,31117
-77.02623546123505,38.89824328774852,47623,31274
-77.057979,38.934267,47110,31305
-76.9953,38.8792,46545,31608
-77.0057,38.8743,46431,31209
-77.038325,38.888096999999995,43931,31290
-77.0436,38.8952,43602,31206
-77.05556999999999,38.897293,43319,31211
-77.02379465103151,38.92812111132096,42675,31115
-76.995193,38.889988,42034,31629
-77.01597,38.917621999999994,41713,31118
-76.982872,38.900413,41596,31617
-77.063896,38.944551000000004,40368,31300
-77.04923199999999,38.856425,40281,31002
-77.049723,38.852928999999996,39825,31011
-77.01536044478415,38.90733256111448,39675,31636
-77.071301,38.889920000000004,39578,31077
-77.008911,38.899703,39416,31637
