"","X","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","mnth2","weekday2","hr2"
"1",1,1,"1/1/11",1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,"January","Saturday","12 AM"
"2",2,2,"1/1/11",1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,"January","Saturday","1 AM"
"3",3,3,"1/1/11",1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,"January","Saturday","2 AM"
"4",4,4,"1/1/11",1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,"January","Saturday","3 AM"
"5",5,5,"1/1/11",1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,"January","Saturday","4 AM"
"6",6,6,"1/1/11",1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,"January","Saturday","5 AM"
"7",7,7,"1/1/11",1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,"January","Saturday","6 AM"
"8",8,8,"1/1/11",1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,"January","Saturday","7 AM"
"9",9,9,"1/1/11",1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,"January","Saturday","8 AM"
"10",10,10,"1/1/11",1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,"January","Saturday","9 AM"
"11",11,11,"1/1/11",1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,"January","Saturday","10 AM"
"12",12,12,"1/1/11",1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,"January","Saturday","11 AM"
"13",13,13,"1/1/11",1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,"January","Saturday","12 PM"
"14",14,14,"1/1/11",1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,"January","Saturday","1 PM"
"15",15,15,"1/1/11",1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,"January","Saturday","2 PM"
"16",16,16,"1/1/11",1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,"January","Saturday","3 PM"
"17",17,17,"1/1/11",1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,"January","Saturday","4 PM"
"18",18,18,"1/1/11",1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,"January","Saturday","5 PM"
"19",19,19,"1/1/11",1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,"January","Saturday","6 PM"
"20",20,20,"1/1/11",1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,"January","Saturday","7 PM"
"21",21,21,"1/1/11",1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,"January","Saturday","8 PM"
"22",22,22,"1/1/11",1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,"January","Saturday","9 PM"
"23",23,23,"1/1/11",1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,"January","Saturday","10 PM"
"24",24,24,"1/1/11",1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,"January","Saturday","11 PM"
"25",25,25,"1/2/11",1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,"January","Sunday","12 AM"
"26",26,26,"1/2/11",1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,"January","Sunday","1 AM"
"27",27,27,"1/2/11",1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,"January","Sunday","2 AM"
"28",28,28,"1/2/11",1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,"January","Sunday","3 AM"
"29",29,29,"1/2/11",1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,"January","Sunday","4 AM"
"30",17380,29.5,"1/2/11",1,0,1,5,0,0,0,NA,NA,NA,NA,NA,0,0,0,"January","Sunday","5 AM"
"31",30,30,"1/2/11",1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,"January","Sunday","6 AM"
"32",31,31,"1/2/11",1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,"January","Sunday","7 AM"
"33",32,32,"1/2/11",1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,"January","Sunday","8 AM"
"34",33,33,"1/2/11",1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,"January","Sunday","9 AM"
"35",34,34,"1/2/11",1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,"January","Sunday","10 AM"
"36",35,35,"1/2/11",1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,"January","Sunday","11 AM"
"37",36,36,"1/2/11",1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,"January","Sunday","12 PM"
"38",37,37,"1/2/11",1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,"January","Sunday","1 PM"
"39",38,38,"1/2/11",1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,"January","Sunday","2 PM"
"40",39,39,"1/2/11",1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,"January","Sunday","3 PM"
"41",40,40,"1/2/11",1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,"January","Sunday","4 PM"
"42",41,41,"1/2/11",1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,"January","Sunday","5 PM"
"43",42,42,"1/2/11",1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,"January","Sunday","6 PM"
"44",43,43,"1/2/11",1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,"January","Sunday","7 PM"
"45",44,44,"1/2/11",1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,"January","Sunday","8 PM"
"46",45,45,"1/2/11",1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,"January","Sunday","9 PM"
"47",46,46,"1/2/11",1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,"January","Sunday","10 PM"
"48",47,47,"1/2/11",1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,"January","Sunday","11 PM"
"49",48,48,"1/3/11",1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,"January","Monday","12 AM"
"50",49,49,"1/3/11",1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,"January","Monday","1 AM"
"51",17381,49.3333333333333,"1/3/11",1,0,1,2,0,1,1,NA,NA,NA,NA,NA,0,0,0,"January","Monday","2 AM"
"52",17382,49.6666666666667,"1/3/11",1,0,1,3,0,1,1,NA,NA,NA,NA,NA,0,0,0,"January","Monday","3 AM"
"53",50,50,"1/3/11",1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,"January","Monday","4 AM"
"54",51,51,"1/3/11",1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,"January","Monday","5 AM"
"55",52,52,"1/3/11",1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,"January","Monday","6 AM"
"56",53,53,"1/3/11",1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,"January","Monday","7 AM"
"57",54,54,"1/3/11",1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,"January","Monday","8 AM"
"58",55,55,"1/3/11",1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,"January","Monday","9 AM"
"59",56,56,"1/3/11",1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,"January","Monday","10 AM"
"60",57,57,"1/3/11",1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,"January","Monday","11 AM"
"61",58,58,"1/3/11",1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,"January","Monday","12 PM"
"62",59,59,"1/3/11",1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,"January","Monday","1 PM"
"63",60,60,"1/3/11",1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,"January","Monday","2 PM"
"64",61,61,"1/3/11",1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,"January","Monday","3 PM"
"65",62,62,"1/3/11",1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,"January","Monday","4 PM"
"66",63,63,"1/3/11",1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,"January","Monday","5 PM"
"67",64,64,"1/3/11",1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,"January","Monday","6 PM"
"68",65,65,"1/3/11",1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,"January","Monday","7 PM"
"69",66,66,"1/3/11",1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,"January","Monday","8 PM"
"70",67,67,"1/3/11",1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,"January","Monday","9 PM"
"71",68,68,"1/3/11",1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,"January","Monday","10 PM"
"72",69,69,"1/3/11",1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,"January","Monday","11 PM"
"73",70,70,"1/4/11",1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,"January","Tuesday","12 AM"
"74",71,71,"1/4/11",1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,"January","Tuesday","1 AM"
