"","city","lon","lat","month","monthnum","sunshine"
"1","Chicago","-87.623177","41.881832","Jan","0","135"
"2","Chicago","-87.623177","41.881832","Feb","1","136"
"3","Chicago","-87.623177","41.881832","Mar","2","187"
"4","Chicago","-87.623177","41.881832","Apr","3","215"
"5","Chicago","-87.623177","41.881832","May","4","281"
"6","Chicago","-87.623177","41.881832","Jun","5","311"
"7","Chicago","-87.623177","41.881832","Jul","6","318"
"8","Chicago","-87.623177","41.881832","Aug","7","283"
"9","Chicago","-87.623177","41.881832","Sep","8","226"
"10","Chicago","-87.623177","41.881832","Oct","9","193"
"11","Chicago","-87.623177","41.881832","Nov","10","113"
"12","Chicago","-87.623177","41.881832","Dec","11","106"
"13","Houston","-95.358421","29.749907","Jan","0","144"
"14","Houston","-95.358421","29.749907","Feb","1","141"
"15","Houston","-95.358421","29.749907","Mar","2","193"
"16","Houston","-95.358421","29.749907","Apr","3","212"
"17","Houston","-95.358421","29.749907","May","4","266"
"18","Houston","-95.358421","29.749907","Jun","5","298"
"19","Houston","-95.358421","29.749907","Jul","6","294"
"20","Houston","-95.358421","29.749907","Aug","7","281"
"21","Houston","-95.358421","29.749907","Sep","8","238"
"22","Houston","-95.358421","29.749907","Oct","9","239"
"23","Houston","-95.358421","29.749907","Nov","10","181"
"24","Houston","-95.358421","29.749907","Dec","11","146"
"25","Miami","-80.191788","25.761681","Jan","0","222"
"26","Miami","-80.191788","25.761681","Feb","1","227"
"27","Miami","-80.191788","25.761681","Mar","2","266"
"28","Miami","-80.191788","25.761681","Apr","3","275"
"29","Miami","-80.191788","25.761681","May","4","280"
"30","Miami","-80.191788","25.761681","Jun","5","251"
"31","Miami","-80.191788","25.761681","Jul","6","267"
"32","Miami","-80.191788","25.761681","Aug","7","263"
"33","Miami","-80.191788","25.761681","Sep","8","216"
"34","Miami","-80.191788","25.761681","Oct","9","215"
"35","Miami","-80.191788","25.761681","Nov","10","212"
"36","Miami","-80.191788","25.761681","Dec","11","209"
"37","New York","-73.935242","40.73061","Jan","0","154"
"38","New York","-73.935242","40.73061","Feb","1","171"
"39","New York","-73.935242","40.73061","Mar","2","213"
"40","New York","-73.935242","40.73061","Apr","3","237"
"41","New York","-73.935242","40.73061","May","4","268"
"42","New York","-73.935242","40.73061","Jun","5","289"
"43","New York","-73.935242","40.73061","Jul","6","302"
"44","New York","-73.935242","40.73061","Aug","7","271"
"45","New York","-73.935242","40.73061","Sep","8","235"
"46","New York","-73.935242","40.73061","Oct","9","213"
"47","New York","-73.935242","40.73061","Nov","10","169"
"48","New York","-73.935242","40.73061","Dec","11","155"
"49","San Francisco","-122.446747","37.733795","Jan","0","165"
"50","San Francisco","-122.446747","37.733795","Feb","1","182"
"51","San Francisco","-122.446747","37.733795","Mar","2","251"
"52","San Francisco","-122.446747","37.733795","Apr","3","281"
"53","San Francisco","-122.446747","37.733795","May","4","314"
"54","San Francisco","-122.446747","37.733795","Jun","5","330"
"55","San Francisco","-122.446747","37.733795","Jul","6","300"
"56","San Francisco","-122.446747","37.733795","Aug","7","272"
"57","San Francisco","-122.446747","37.733795","Sep","8","267"
"58","San Francisco","-122.446747","37.733795","Oct","9","243"
"59","San Francisco","-122.446747","37.733795","Nov","10","189"
"60","San Francisco","-122.446747","37.733795","Dec","11","156"
"61","Seattle","-122.335167","47.608013","Jan","0","69"
"62","Seattle","-122.335167","47.608013","Feb","1","108"
"63","Seattle","-122.335167","47.608013","Mar","2","178"
"64","Seattle","-122.335167","47.608013","Apr","3","207"
"65","Seattle","-122.335167","47.608013","May","4","253"
"66","Seattle","-122.335167","47.608013","Jun","5","268"
"67","Seattle","-122.335167","47.608013","Jul","6","312"
"68","Seattle","-122.335167","47.608013","Aug","7","281"
"69","Seattle","-122.335167","47.608013","Sep","8","221"
"70","Seattle","-122.335167","47.608013","Oct","9","142"
"71","Seattle","-122.335167","47.608013","Nov","10","72"
"72","Seattle","-122.335167","47.608013","Dec","11","52"
"73","Mean Sunshine",NA,NA,"Jan","0","148.166666666667"
"74","Mean Sunshine",NA,NA,"Feb","1","160.833333333333"
"75","Mean Sunshine",NA,NA,"Mar","2","214.666666666667"
"76","Mean Sunshine",NA,NA,"Apr","3","237.833333333333"
"77","Mean Sunshine",NA,NA,"May","4","277"
"78","Mean Sunshine",NA,NA,"Jun","5","291.166666666667"
"79","Mean Sunshine",NA,NA,"Jul","6","298.833333333333"
"80","Mean Sunshine",NA,NA,"Aug","7","275.166666666667"
"81","Mean Sunshine",NA,NA,"Sep","8","233.833333333333"
"82","Mean Sunshine",NA,NA,"Oct","9","207.5"
"83","Mean Sunshine",NA,NA,"Nov","10","156"
"84","Mean Sunshine",NA,NA,"Dec","11","137.333333333333"
