LONGITUDE,LATITUDE,TERMINAL
-77.05323,38.858971,31000
-77.05332,38.85725,31001
-77.049232,38.856425,31002
-77.049417,38.861056,31003
-77.05949,38.857866,31004
-77.059936,38.862303,31005
-77.0633,38.8637,31006
-77.05113173,38.85740496,31007
-77.051514,38.848466,31009
-77.0502,38.8426,31010
-77.049723,38.852929,31011
-77.05152,38.850688,31012
-77.0429,38.9003,31100
-77.032096,38.9177645,31101
-77.027822,38.929464,31102
-77.03542069,38.92612422,31103
-77.042581,38.922925,31104
-77.0322,38.9268,31105
-77.047637,38.923203,31106
-77.0388,38.9319,31107
-77.0178975,38.876697,31108
-77.03442693,38.90980063,31201
-77.032008,38.913046,31202
-77.0323,38.9086,31203
-77.045,38.8963,31204
-77.04644859,38.90071063,31205
-77.02418089,38.93668393,31400
-77.0328,38.9375,31401
-76.9955,38.9346,31502
-77.019027,38.90304,31600
-76.9769,38.8896,31601
-77.0315,38.9308,31602
-76.969184,38.861663,31700
-77.057979,38.934267,31305
-76.9607,38.878,31702
-76.947446,38.897063,31703
-76.941877,38.901385,31704
-76.994637,38.862669,31801
-76.988039,38.867373,31802
-77.0436,38.8952,31206
-77.000648,38.919077,31500
-77.0259,38.9172,31111
-77.0222,38.9249,31207
-77.0057,38.8743,31209
-77.0446,38.9154,31110
-77.0222,38.9155,31109
-77.0534116,38.85438052,31013
-77.0037,38.8763,31208
-77.0444,38.9101,31200
-77.005483,38.905697,31603
-77.04731762,38.90571079,31212
-77.03863,38.90276,31213
-77.015289,38.899408,31604
-77.0023,38.8851,31605
-76.9862,38.8803,31606
-76.98790669,38.88291548,31607
-77.0387,38.9121,31214
-77.063896,38.944551,31300
-77.0135,38.9126,31503
-76.9953,38.8792,31608
-77.087171,38.938736,31301
-77.072755,38.934881,31302
-77.032818,38.947774,31402
-76.9784,38.865784,31804
-76.971015,38.873057,31805
-76.996806,38.886952,31610
-77.031686,38.899632,31216
-76.947974,38.894,31705
-77.02824175,38.88627695,31217
-77.0591415,38.902314,31215
-76.991016,38.933668,31501
-77.046587,38.894919,31220
-77.022241,38.886266,31218
-77.026013,38.893028,31219
-77.05557,38.897293,31211
-76.9947356,38.88426009,31613
-77.04177886,38.90506687,31221
-77.079382,38.947607,31303
-76.98825002,38.90042674,31611
-77.019347,38.897222,31620
-77.03335404,38.89903234,31222
-77.02227,38.905737,31223
-77.043358,38.927872,31112
-77.0424521,38.90374145,31224
-77.06269,38.90375,31225
-77.02305436,38.8786936,31609
-76.99591577,38.89484064,31612
-77.0682,38.916442,31226
-77.029822,38.900283,31227
-77.023086,38.8997,31228
-76.992889,38.932514,31504
-77.00495,38.910972,31505
-76.998347,38.899972,31615
-77.001949,38.900412,31616
-76.982872,38.900413,31617
-77.000349,38.889955,31618
-76.988355,38.890461,31619
-76.9599,38.8692,31701
-76.987633,38.894832,31622
-77.038252,38.915544,31229
-77.027869,38.898364,31230
-77.031617,38.894514,31231
-77.02219069,38.89728305,31232
-77.038322,38.902061,31233
-77.04478,38.908905,31234
-77.016106,38.895344,31621
-77.0436,38.8923,31235
-77.071652,38.90774,31236
-76.991383,38.899983,31614
-77.053485,38.903827,31237
-77.00493,38.89696,31623
-77.009888,38.897446,31624
-77.027313,38.9055785,31266
-77.070334,38.922581,31304
-77.032278,38.898409,31238
-77.050537,38.844015,31052
-77.04657,38.88412,31240
